orcid,type,name,gender,latitude,longitude,affiliation,cr_highest_degree,organization,department,institution_name,institution_place,institution_department,orcid_cr_combined_department,google_scholar_affiliation,google_scholar_name,gs_parsed_highest_degree,
0000-0002-1407-7135,co_author,Saeed Babaeizadeh,male,51.4912751,5.3838175,Philips Healthcare Nederland,,,,,,,,"Director of Algorithm Research, Philips Healthcare",Saeed Babaeizadeh,,
0000-0001-8684-6936,co_author,Safia Elyounssi,female,42.3628604,-71.068753,Massachusetts General Hospital,,,,,,,,Massachusetts General Hospital,Safia Elyounssi,,
0000-0003-2864-7044,co_author,Saira Khan,female,38.62727,-90.19789,Washington University School of Medicine in St. Louis,Master of Public Health (M.P.H.),,School of Public Health (2002-2015),Drexel University,"Philadelphia, Pennsylvania, United States",School of Public Health (2002-2015),School of Public Health (2002-2015),Ayub medical college,Saira Khan,,Master of Public Health (M.P.H.)
0000-0003-3731-6183,co_author,Saira Purewal,female,32.22174,-110.92648,University of Arizona College of Medicine – Tucson,,,,,,,,,,,
0000-0002-4968-4197,co_author,Saira Samani,female,42.3741033,-71.1341758,Mount Auburn Hospital,,,,,,,,Ochsner Medical Center,Saira Samani,,
0000-0002-3765-3887,co_author,Salah Ali,female,39.1316116,-77.2165406,National Institute of Standards,BSc,,,,,,,التاريخ,Sajad Salah Ali,,
0000-0001-9867-3470,co_author,Salah Al‚Äêzaiti,female,,,Islamic University of Madinah,Bachelor of Science in Electrical Engineering ,Islamic University of Madinah,Electrical Engineering ,,,,Electrical Engineering ,,,,
0000-0002-0537-4816,co_author,Sam Cammack,male,40.789793,-73.9532536,Icahn School of Medicine at Mount Sinai,,,,,,,,,,,
0000-0001-8614-6702,co_author,Sam Robinson,male,,,Georgia Neurosurgical Institute,,,,,,,,University of Queensland,Samuel David Robinson,,
0000-0001-8424-8764,co_author,Sam Torbati,male,34.0751604,-118.3810936,Cedars-Sinai Medical Center,,,,,,,,,,,
0000-0003-3707-9341,co_author,Samad Tirmizi,male,41.3046035,-72.9355941,Yale-New Haven Hospital,,,,,,,,,,,
0009-0002-5464-2271,co_author,Samantha Buckley,female,40.789793,-73.9532536,Icahn School of Medicine at Mount Sinai,,,,bioRxiv,,,,"Research Associate, NOVA Southeastern University",Samantha Buckley,,
0000-0001-7098-9545,co_author,Samantha Champion,female,42.3628604,-71.068753,Massachusetts General Hospital,,,,Comprehensive R Archive Network,,,,,,,
0000-0001-9575-8719,co_author,Samantha Delibert,female,43.1229063,-77.6253854,University of Rochester Medical Center,,,,,,,,,,,
0000-0002-2090-9620,co_author,Samantha Devlin,female,41.78976,-87.59977,"Department of Medicine, The University of Chicago",Master of Science in Global Health,University of Notre Dame,,,,,,,,,Master of Science in Global Health
0000-0001-9169-763X,co_author,Samantha Kling,female,,,Stanford University School of Medicine,PhD,Pennsylvania State University University Park,Nutritional Sciences,,,,Nutritional Sciences,"Quantitative Research Scientist, Evaluation Sciences Unit, Division of Primary Care and Population",Samantha M.R. Kling,,
0009-0001-7697-2696,co_author,Samantha Olson,female,,,National Center for Immunization and Respiratory Diseases,,,,Authorea Inc.,,,,CDC,Samantha Olson,,
0000-0003-0618-9409,co_author,Samantha Sartori,female,40.789793,-73.9532536,Icahn School of Medicine at Mount Sinai,PhD Biomedical Statistics ,Universita degli Studi di Milano,Medical Statistics and Biometrics ,American Psychological Association,,,Medical Statistics and Biometrics ,Icahn School of Medicine at Mount Sinai,samantha sartori,,PhD Biomedical Statistics
0000-0002-2440-4208,co_author,Samantha Strickler,female,33.7936353,-84.3221796,Emory University School of Medicine,,,,,,,,,,,
0000-0002-7780-7043,co_author,Sameep Shah,male,,,Institute for Population and Precision Health,PhD,,,American Psychological Association,,,,University of Chicago,Sameep Shah,,
0000-0002-1888-0793,co_author,Samin Sharma,male,40.789793,-73.9532536,Icahn School of Medicine at Mount Sinai,,,,,,,,,,,
0000-0002-3610-064X,co_author,Saminder Kalra,male,,,University of Florida College of Medicine,,,,,,,,University of Florida,Saminder Singh Kalra,,Resident Physician in General Surgery
0000-0003-4669-803X,co_author,Samir Saba,male,36.8584027,-76.3054313,University of Pittsburgh Medical Center,Resident Physician in General Surgery,,,,,,,"MedStar Health Baltimore, Department of Surgery",Aref Samir Sayegh Saba,,
0000-0001-8255-7045,co_author,Samreen Jatana,male,41.5005343,-81.6220008,Cleveland Clinic Foundation,Doctor of Philosophy (PhD),University of Rochester,Biomedical Engineering,Research Square,,,Biomedical Engineering,"Research Associate, Cleveland Clinic",Samreen Jatana,,
0000-0003-1574-0549,co_author,Samuel Acquah,male,5.1182533,-1.2885295,University of Cape Coast Ghana,PHD ZOOLOGY (PARASITOLOGY),,,,,,,University of Environment and Sustainable Development,Samuel Joe ACQUAH (DR),dr,PHD ZOOLOGY (PARASITOLOGY)
0000-0003-4791-9025,co_author,Samuel Brown,male,,,University of Utah School of Medicine,PhD,,School of Management,Swansea University,Swansea,School of Management,School of Management,"Professor of Medicine, Intermountain Medical Center and University of Utah",Samuel M. Brown,professor,
0000-0002-8067-5811,co_author,Samuel Fu,male,38.0333525,-84.5104375,University of Kentucky College of Medicine,,,,,,,,,,,
0000-0003-0031-3392,co_author,Samuel Kaskovich,male,39.7392095,-104.9423779,Denver Health,,,,,,,,,,,
0000-0003-4732-8284,co_author,Samuel Kim,male,34.36594,-89.52536,"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",Master of Science (MS),Dartmouth College,Computer Science,San Jose State University,"San Jose, CA, USA",Computer Science,Computer Science,"Cipherome, Inc",Samuel Kim,,
0000-0003-3397-0014,co_author,Samuel Oliver,male,53.2300234,-4.130082,Bangor University,,,,,,,,"Department of Mechanical Engineering, University of Cross River State, Calabar, Nigeria",Samuel Oliver Effiom,,
0000-0002-2257-2400,co_author,Samuel Purvine,male,,,Pacific Northwest National Laboratory,Bachelors of Science,University of Washington,Biochemistry,Pacific Northwest National Laboratory (PNNL),"Richland, WA (United States)",,Biochemistry,Pacific Northwest National Laboratory,Samuel O. Purvine,,
0000-0001-9984-5182,co_author,Samuel Smith,male,34.7408413,-92.2915917,Arkansas Children's Hospital,MD,University of Oxford,Trinity College,ISRCTN,"London, UK",,Trinity College,DeepMind,Samuel L. Smith,,
0009-0008-2293-3270,co_author,Samuel Snider,male,42.3368684,-71.1037297,Harvard Medical School,,,Funding,US Dept of the Navy,,Funding,Funding,"Instructor of Neurology, Brigham and Women's Hospital, Harvard Medical School,",Samuel B. Snider,,
0000-0003-3810-3729,co_author,Samuel Tisherman,male,,,University of Maryland School of Medicine,,,,,,,,,,,
0000-0001-9863-851X,co_author,Samuel Volchenboum,male,41.7913968,-87.6008439,The University of Chicago,professor,,,,,,,"Assistant Professor of Pediatrics, University of Chicago",Samuel Volchenboum,professor,
0000-0002-0069-8213,co_author,Samuel Wiggins,male,55.8618812,-4.2419566,University of Strathclyde,,,,,,,,University of Southern California,Samuel Wiggins,,
0000-0001-8069-6201,co_author,Samuel Wiles,male,41.5045,-81.59707,Cleveland Clinic Lerner College of Medicine of Case Western Reserve University,,,Transportation Research and Education Center (TREC),Portland State University,"Portland, OR",Transportation Research and Education Center (TREC),Transportation Research and Education Center (TREC),,,,
0000-0002-0504-1202,co_author,Samuli Ripatti,female,42.3628604,-71.068753,Massachusetts General Hospital,professor,,,bioRxiv,,,,"Professor of Biometry, University of Helsinki",Samuli Ripatti,professor,
0000-0002-1115-7324,co_author,Sanchit Chawla,male,41.5005343,-81.6220008,Cleveland Clinic Foundation,Bachelor of Medicine and Bachelor of Surgery ,St George's University of London,,,,,,Cleveland Clinic,Sanchit Chawla,,Bachelor of Medicine and Bachelor of Surgery
0000-0003-4197-3354,co_author,Sanja Dacic,female,36.8584027,-76.3054313,University of Pittsburgh Medical Center,,,,,,,,Unknown affiliation,Sanja Dacic,,
0000-0003-4368-5110,co_author,Sanjay Dhar,female,23.5486962,87.2910571,"National Institute of Technology, Durgapur",associate professor,,,,,,,"Associate Professor, ECE Department, NIT Durgapur",Sanjay Dhar Roy,associate professor,
0000-0002-6424-5002,co_author,Sanjay Mukhopadhyay,female,41.5005343,-81.6220008,Cleveland Clinic Foundation,"Fellow, Pulmonary Pathology",,,,,,,"Staff Pathologist, Cleveland Clinic",Sanjay Mukhopadhyay,,"Fellow, Pulmonary Pathology"
0000-0001-6817-6027,co_author,Sanjay Nair,female,13.0110983,80.2348657,College of Engineering,,,,,,,,Unknown affiliation,Sanjay Nair,,
0000-0003-4886-1988,co_author,Sanjay Ranka,female,29.6328837,-82.349013,University of Florida,,,,,,,,University of Florida,Sanjay Ranka,,
0000-0002-7267-0025,co_author,Sanjiv Sur,male,29.7104775,-95.3958003,Baylor College of Medicine,MBBS,GSVM Medical College,,,,,,Baylor College of Medicine,Sanjiv Sur,,
0000-0001-6433-0760,co_author,Sankalp Das,male,25.777466,-80.140543,Baptist Health South Florida,MPH,Florida International University,biostatistics,Research Square,,,biostatistics,Baptist Health South Florida,"Sankalp Das BDS, MPH (Biostatistics)",mph,
0009-0000-5308-7638,co_author,Santiago Teruel,male,40.4814703,-3.6872849,Hospital Universitario La Paz,,,,,,,,,,,
0000-0002-4950-0992,co_author,Santosh Murthy,female,,,Weill Cornell Medicine Feil Family Brain & Mind Research Institute,,,,,,,,"Neurology/Neurocritical Care, Weill Cornell Medicine",Santosh B Murthy,,
0000-0003-0400-7229,co_author,Sany Kumar,female,41.5005343,-81.6220008,Cleveland Clinic Foundation,dr,,,,,,,"Agricultural Economist, Punjab Agricultural University, Ludhiana",Dr. Sunny Kumar,dr,
0000-0002-2442-9982,co_author,Sara Baggio,female,45.3703426,9.171865,Humanitas University,Specializzazione in Malattie dell'Apparato Cardiovascolare,Humanitas University,,,,,,,,,
0000-0003-2442-568X,co_author,Sara Martin,female,40.3126896,-3.7426311,Hospital Universitario de Getafe,,Michigan Technological University,,American Psychological Association,,,,Unilever,Sara Martins,,
0000-0002-4671-8662,co_author,Sara Radparvar,female,40.7899644,-73.9532282,The Mount Sinai Hospital,,,,Chicago Operations Office,"Argonne, IL",,,,,,
0000-0001-8810-2359,co_author,Sara Revolinski,female,43.0438671,-88.0224532,Medical College of Wisconsin,,,,,,,,,,,
0000-0002-3527-0882,co_author,Sara Wilson,female,40.52222,-74.46083,KU School of Engineering,,,,,,,,"Mechanical Engineering, Bioengineering, University of Kansas",Sara Wilson,,
0000-0002-9829-8188,co_author,Sarah Berger,female,-43.5348592,172.6318208,"University of Otago, Christchurch",Master of Nursing (Hons),,,ISRCTN,"London, UK",,,"Professor of Psychology, College of Staten Island, City University of New York",Sarah Berger,professor,Master of Nursing (Hons)
0000-0002-8626-5899,co_author,Sarah Blackwell,female,33.9404278,-83.373049,University of Georgia,,,,,,,,University of Georgia,Sarah E Blackwell,,
0000-0002-9897-6014,co_author,Sarah Burris,female,7.25,2.16667,University of Tennessee Health Science Center,,,,,,,,,,,
0000-0003-1727-6014,co_author,Sarah Doernberg,female,,,UCSF School of Medicine,,,,Brookhaven National Laboratory (BNL),"Upton, NY (United States)",,,,,,
0000-0002-9804-0654,co_author,Sarah Elsayed,female,53.5909051,9.9753758,Universitätsklinikum Hamburg-Eppendorf,fellow,,,,,,,Research Fellow at King's College London,Julia Sarah Elsayed Moustafa,fellow,
0000-0003-3603-6761,co_author,Sarah Innis,female,3.1188278,101.6555371,Department of Biomedical Engineering,BA,University of Virginia,,Williams College,,,,University of Southampton,Sarah Ennis,,
0000-0001-9243-9704,co_author,Sarah Johnson,female,-32.8818,151.6846,"The University of Newcastle, Australia",Master of Science (M.S.),,,National Park Service,"Fort Collins, Colorado",,,"University Lecturer in Physics, Simon Fraser University",Sarah D. Johnson,physics,
0000-0001-7617-7759,co_author,Sarah Jolley,female,,,University of Colorado School of Medicine,professor,University of Oxford,Corpus Christi College,American Psychological Association,,,Corpus Christi College,"Assistant Professor, University of Colorado",Sarah Jolley,professor,
0009-0005-1647-0175,co_author,Sarah Karram,female,,,Johns Hopkins University School of Medicine,,,,,,,,"Johns Hopkins University, Duke University and Pathologists Diagnostic Services",Sarah Karram,,
0000-0003-3295-3730,co_author,Sarah Larson,female,,,David Geffen School of Medicine at UCLA,,,,,,,,North Carolina State University,Sarah M. Larson,,
0000-0001-5427-040X,co_author,Sarah Livesay,female,29.8636831,31.3156394,College of Nursing,Doctor of Philosophy (PhD),,English,University of Iowa,"Iowa City, IA, United States",English,English,,,,
0000-0002-3539-7402,co_author,Sarah Lyon,female,44.9341217,4.9030427,Université Grenoble Alpes,professor,,,,,,,"Professor of Anthropology, University of Kentucky",Sarah Lyon,professor,
0000-0003-1891-6976,co_author,Sarah Nelson,female,37.7793627,-122.4514473,"University of California, San Francisco",PhD ,,,,,,,University of Washington,Sarah Catherine Nelson,,
0000-0002-5808-6543,co_author,Sarah Peppard,female,43.0438671,-88.0224532,Medical College of Wisconsin,,,,University of San Diego,,,,,,,
0000-0002-1882-509X,co_author,Sarah Pett,female,,,Central and North West London NHS Foundation Trust,Master of Fine Arts,,,ISRCTN,"London, UK",,,,,,Master of Fine Arts
0000-0002-5505-2882,co_author,Sarah Ratcliffe,female,38.0410576,-78.5055084,University of Virginia,professor,,,The IFS,,,,"Professor & Director, Division of Biostatistics, Dept. Public Health Sciences, UVA",Sarah J. Ratcliffe,professor,
0000-0003-2328-0992,co_author,Sarah Read,female,20.24232,-155.83323,Retina Consultants of Hawaii,professor,,,,,,,"Professor of Data Assimilation, University of Reading; National Centre for Earth Observation",Sarah L Dance,professor,
0000-0001-7352-2043,co_author,Sarah Sobotka,female,41.78976,-87.59977,"Department of Pediatrics, The University of Chicago",MSCP,University of Chicago,Public Health Sciences,,,,Public Health Sciences,,,,
0000-0002-1284-2104,co_author,Sarah Sokol,female,41.7909256,-87.6057809,The University of Chicago Medicine,PhD,University of Pittsburgh,Department of Biological Sciences,Comprehensive R Archive Network,,,Department of Biological Sciences,,,,
0000-0003-0333-9256,co_author,Sarah Tennant,female,,,Nottingham University Hospitals NHS Trust,,,,American Psychological Association,,,,,,,
0000-0002-3603-8110,co_author,Sarah Turbett,female,42.3628604,-71.068753,Massachusetts General Hospital,,,,,,,,,,,
0000-0002-1744-1166,co_author,Sarah Wahlster,female,47.6556644,-122.3027072,University of Washington,,,,,,,,,,,
0000-0003-2139-8516,co_author,Sarah Welch,female,41.89624,-87.6195677,Northwestern University Feinberg School of Medicine,associate professor,,,,,,,Associate Professor & Reader in English and Postcolonial literatures,Sarah Lawson Welsh,associate professor,
0000-0002-0277-2632,co_author,Sarah Won,female,64.85694,-147.80278,Rush Medical College,,,,,,,,Unknown affiliation,sarah y. won,,
0000-0003-2127-3609,co_author,Sarina Sahetya,female,39.2961786,-76.5914676,The Johns Hopkins Hospital,,,,,,,,,,,
0000-0002-7495-2229,co_author,Saroj K,male,20.27241,85.83385,"All India Institute of Medical Sciences, Bhubaneswar",Doctor of Philosophy (PhD),,,Louisiana State University and Agricultural and Mechanical College,,,,"B.N.Mandal University, Madhepura, Bihar, India",Dr. Saroj  Kumar Singh,dr,
0009-0009-7776-6470,co_author,Satoshi Egawa,female,52.47306,-8.43056,Kinki Central Hospital,,,,,,,,,,,
0000-0003-3555-1083,co_author,Satoshi Yasuda,female,,,,dr,,,,,,,Dr,Satoshi Yasuda,dr,
0000-0002-7731-0088,co_author,Satyanarayana Mukkera,female,28.5255012,-81.3782669,Orlando Regional Medical Center,,,,,,,,,,,
0000-0001-5483-3508,co_author,Saul Suster,male,43.0438671,-88.0224532,Medical College of Wisconsin,professor,,,,,,,"Professor of Pathology, Medical College of Wisconsin",Saul Suster,professor,
0000-0002-9715-641X,co_author,Saulius Rocka,male,54.682847,25.2878406,Vilniaus Universitetas,Prof.,Vilnius University,Faculty of Medicine,,,,Faculty of Medicine,,,,
0000-0003-2098-3123,co_author,Sayed Bukhari,male,31.4157888,73.0688768,Government College University Faisalabad,Doctor of Philosophy,,Agricultural Education and Studies,"Iowa State University, Digital Repository",Ames,Agricultural Education and Studies,Agricultural Education and Studies,"College of Pharmacy, Jouf University",Syed Nasir Abbas Bukhari,,
0000-0002-2230-9426,co_author,Sayona John,female,41.873526,-87.6691015,Rush University Medical Center,MD,,,,,,,Rush University Medical Center,Sayona John,,
0000-0001-5792-6283,co_author,Scott Bolesta,male,41.2444276,-75.8902922,Wilkes University,professor,,,,,,,"Professor of Pharmacy Practice, Wilkes University",Scott Bolesta,professor,
0000-0002-7327-3718,co_author,Scott Brakenridge,male,29.6328837,-82.349013,University of Florida,PhD Thesis,,Faculty of Medicine,The University of Queensland,,Faculty of Medicine,Faculty of Medicine,University of Washington,Scott Brakenridge,,
0000-0002-6138-3602,co_author,Scott Budge,male,41.7526959,-111.808733,Utah State University,PhD,Brigham Young University,Electrical and Computer Engineering,,,,Electrical and Computer Engineering,,,,
0000-0002-0358-9821,co_author,Scott Faust,male,7.25,2.16667,"U.S. Army Tank Automotive Research, Development and Engineering Center",,,,,,,,"Part-Time Lecturer, Oakland University",Scott Faust,,
0000-0002-4317-9077,co_author,Scott Flamm,male,41.5005343,-81.6220008,Cleveland Clinic Foundation,,,,,,,,,,,
0000-0002-6599-2018,co_author,Scott Gunn,male,,,University of Pittsburgh School of Medicine,,,,,,,,University of Pittsburgh,Scott Gunn,,
0000-0002-2040-0293,co_author,Scott Heysell,male,38.0410576,-78.5055084,University of Virginia,,,,,,,,Unknown affiliation,Scott Heysell,,
0000-0002-2433-051X,co_author,Scott Leikin,male,41.9345477,-87.6373849,"Saint Joseph Hospital, Chicago",,,,,,,,,,,
0000-0001-8879-6514,co_author,Scott Marshall,male,52.3685848,4.8902006,Universiteit van Amsterdam,MA,University of Massachusetts Amherst,Geosciences,West Virginia University Libraries,,Geology and Geography,Geosciences,Professor of Communication University of Illinois Urbana-Champaign,Marshall Scott Poole,professor,
0000-0002-3512-4332,co_author,Scott Mendelson,male,49.2697484,-123.2551083,The University of British Columbia,MD,University of Chicago,Pritzker Scool of Medicine,,,,Pritzker Scool of Medicine,,,,
0000-0002-9609-9695,co_author,Scott Micek,male,38.6368248,-90.260913,St. Louis College of Pharmacy,professor,,,,,,,"Professor of Pharmacy Practice, University of Health Sciences & Pharmacy in St. Louis",Scott Micek,professor,
0009-0003-5753-031X,co_author,Scott Ouellette,male,35.83336,-106.25086,Los Alamos National Laboratory,Doctor of Philosophy,"University of California, San Diego",Structural Engineering,Los Alamos National Laboratory (LANL),"Los Alamos, NM (United States)",,Structural Engineering,Los Alamos National Laboratory,"Scott Ouellette, Ph.D.",ph.d,
0000-0003-0144-815X,co_author,Scott Siegel,male,39.6879885,-75.6754019,Helen F. Graham Cancer Center,,,,,,,,Director of Cancer Control & Population Sciences| Helen F. Graham Cancer Center & Research Institute,Scott D Siegel,,
0000-0001-9792-9446,co_author,Scott Weingart,male,40.7272895,-73.5537991,Nassau University Medical Center,professor,,,,,,,Professor of Emergency Medicine,"Scott D. Weingart, MD FCCM",professor,
0000-0003-3633-6596,co_author,Sean Bagshaw,male,,,"University of Alberta, Faculty of Medicine and Dentistry",,,,,,,,University of Alberta,Sean Bagshaw,,
0000-0001-6668-9013,co_author,Sean Callahan,male,18.546223,73.8297937,1​Department of Microbiology,,,,"Authorea, Inc.",,,,The Scripps Research Institute,Sean Callaghan,,
0000-0002-5853-9303,co_author,Sean Collins,male,36.1409237,-86.8016342,Vanderbilt University Medical Center,Masters of Science,,,,,,,"Associate Professor, Vanderbilt University",Sean Collins,associate professor,
0000-0002-2306-3608,co_author,Sean Fisher,male,47.6556644,-122.3027072,University of Washington,,,,,,,,"Thermo-Fisher Scientific, NanoDrop/ University of Pennsylvania",Sean Loughrey,,
0000-0002-6301-291X,co_author,Sean Haughey,male,53,-8,Seagate Technology Ireland,,,,,,,,University of Liverpool,Sean Haughey,,
0000-0003-0498-2614,co_author,Sean Hill,male,18.0167484,-76.798421,Vector Institute,PhD,Loyola University Chicago,Research Methodology/Human Development,American Psychological Association,,,Research Methodology/Human Development,"Professor, University of Toronto; Senior Scientist, CAMH; EPFL, Geneva",Sean L. Hill,professor,
0000-0001-8591-9718,co_author,Sean Liu,male,40.0022905,116.320963,Tsinghua University,professor,,,,,,,Assistant Professor,"Sean T. H. Liu, MD PhD",professor,
0000-0002-0533-2659,co_author,Sean Maxwell,male,-27.4974181,153.0131696,The University of Queensland,PhD Thesis,,School of Earth and Environmental Sciences,The University of Queensland,,School of Earth and Environmental Sciences,School of Earth and Environmental Sciences,"Research Fellow, The University of Queensland",Sean L Maxwell,fellow,
0000-0002-0268-7817,co_author,Sean Pinney,male,40.789793,-73.9532536,Icahn School of Medicine at Mount Sinai,,,,,,,,,,,
0000-0002-3229-5021,co_author,Sean Polster,male,41.7913968,-87.6008439,The University of Chicago,"BS- Genetcis, Cell Biology & Development",University of Minnesota,College of Biological Sciences ,,,,College of Biological Sciences ,University of Chicago,Sean Polster,,
0000-0003-1793-9762,co_author,Sean Zhang,male,43.880146,125.301151,Jilin University,,,,,,,,"Harvard University, University of Twente, Tsinghua University, Tokai University",Sheng (Shawn) ZHANG,,
0000-0002-8139-8510,co_author,Seema Sharma,female,18.5456168,73.807205,Indian Institute of Science Education and Research Pune,PhD,,,,,,,Professor obstetrics and gynaecology,dr seema sharma,professor,
0000-0002-3518-6381,co_author,Seema Tekwani,female,33.7936353,-84.3221796,Emory University School of Medicine,,,,,,,,Emory University,Seema Tekwani,,
0000-0003-2574-8210,co_author,Selina Green,female,37.4167876,-122.2049266,SLAC National Accelerator Laboratory,Ph. D.,University of Minnesota System,Physics,,,,Physics,,,,
0000-0003-2204-3143,co_author,Selina Parry,female,-37.8038271,144.9597056,University of Melbourne,Graduate Certificate in University Teaching,University of Melbourne,,,,,,The University of Melbourne,Selina Parry,,
0000-0001-9999-3951,co_author,Serge Bielawski,female,,,"Laboratoire de Physique des Lasers, Atomes et Molécules (PhLam)",,,,,,,,PhLAM,serge bielawski,,
0000-0003-4006-8061,co_author,Serge Lebecque,female,47.27541,8.4897,Université Claude Bernard Lyon 1,PhD,Université Catholique de Louvain La Faculte de Medecine,,,,,,,,,
0000-0003-4483-4077,co_author,Sergey Sinkov,female,,,Pacific Northwest National Laboratory,,Kuban State Medical University,,Pacific Northwest National Laboratory (PNNL),"Richland, WA (United States)",,,,,,
0000-0001-5641-5908,co_author,Sergio Bergese,male,40.9090809,-73.1205518,Stony Brook University,,,,,,,,Unknown affiliation,Sergio D. Bergese,,
0000-0001-7372-9802,co_author,Sergio Monraz-P√©Rez,male,,,,,,,,,,,,,,
0000-0002-1921-600X,co_author,Sergio Nicola,male,65.31735,25.3731,Università degli Studi di Napoli Federico II,physics,"SPIN - Superconductors, oxides and other innovative materials and devices ",,,,,,"Consiglio Nazionale delle Ricerche, Italy",Sergio De Nicola,,
0000-0002-2100-4153,co_author,Sergio Poli,male,42.3356871,-71.106036,Brigham and Women's Hospital,,,,,,,,"Brigham and Women’s Hospital, Harvard Medical School",Sergio Poli,,
0000-0002-0420-0320,co_author,Seth Bauer,female,41.5005343,-81.6220008,Cleveland Clinic Foundation,,,,,,,,"Pharmacist-Scientist, Department of Pharmacy, Cleveland Clinic",Seth Bauer,,
0000-0002-0669-7043,co_author,Seth Jones,female,39.3302022,-76.6218536,Johns Hopkins University,,,,,,,,University of Kentucky,Seth Jones,,
0000-0003-4914-9546,co_author,Seth Williams,female,,,University of Wisconsin School of Medicine and Public Health,Master of Science,,,Iowa State University,,,,Rice University,Seth A. Williams,,
0000-0003-1358-7835,co_author,Sevag Demirjian,male,41.5045,-81.59707,Cleveland Clinic Lerner College of Medicine of Case Western Reserve University,,,,,,,,Cleveland Clinic,Sevag Demirjian,,
0000-0002-0121-0160,co_author,Seyedmostafa Sheikhalishahi,female,48.37154,10.89851,University Hospital Augsburg,Master of Computer Science,,,Carleton University,"Ottawa, Ontario",,,,,,
0000-0002-6982-0512,co_author,Sh Khalil,female,,,Egyptian Atomic Energy Authority,B. Sc.,Tanta University,Chemistry,,,,Chemistry,"Assistant Professor, Abdul Wali Khan University Mardan",Syed Haider Khalil,professor,
0000-0003-4751-0852,co_author,Shafia Rahman,female,36.8584027,-76.3054313,The Ohio State University Wexner Medical Center,Master of Arts,Montefiore Medical Center,Hematology and Medical Oncology,Carleton University,"Ottawa, Ontario",,Hematology and Medical Oncology,"Assistant Professor, Ohio State University Comprehensive Cancer Center",Shafia Rahman,professor,
0000-0002-7570-9175,co_author,Shahla Siddiqui,female,42.3368684,-71.1037297,Harvard Medical School,,,,ISRCTN,"London, UK",,,Beth Israel deaconess medical center Harvard Medical School,shahla siddiqui,,
0000-0002-9097-0443,co_author,Shahraz Qamar,male,0.3246284,32.574229,Mayo Clinic,,,,Research Square,,,,"Researcher, Mayo Clinic",Shahraz Qamar,,
0000-0002-6832-3282,co_author,Shahzad Shaefi,male,42.3397904,-71.1048812,Beth Israel Deaconess Medical Center,,,,medRxiv,,,,BIDMC,Shahzad Shaefi,,
0000-0001-8453-5042,co_author,Shalini Selvarajah,female,,,Johns Hopkins University School of Medicine,mph,,,,,,,American College of Medical Genetics & Genomics,"Shalini Selvarajah, MD, MPH, MA, FRSPH",mph,
0000-0002-0520-4948,co_author,Shamim Nemati,male,32.8792438,-117.2311247,"University of California, San Diego",,,,,,,,UCSD,Shamim Nemati,,
0000-0002-9477-6146,co_author,Shane English,female,,,L'Hôpital d'Ottawa,,,,,,,,University of British Columbia,Shane Duggan,,
0000-0001-7983-1410,co_author,Shannon Carson,male,35.9634013,-79.05751,UNC Health,,,,,,,,,,,
0000-0002-7916-3448,co_author,Shanshan Li,male,-37.8774234,145.0449669,Monash University,PhD Thesis,,School of Population Health,The University of Queensland,,School of Population Health,School of Population Health,Monash University,Shanshan Li,,
0000-0001-8475-2952,co_author,Sharon Edwards,male,51.627822,-0.753436,Buckinghamshire New University,EdD,,,,,,,"Senior Lecturer in Adult Nursing, Buckinghamshire New Univeristy",Sharon Lorraine Edwards,,
0000-0001-8963-9633,co_author,Sharon Einav,male,33.196535,35.570024,Maccabi Healthcare Services,msc,,,,,,,Hebrew University Faculty of Medicine and Maccabi Healthcare Services,"Sharon Einav, MSc, MD",msc,
0000-0002-6906-2387,co_author,Sharon Wilson,male,38.8887945,-77.0259381,Smithsonian Institution,PHD (Doctor of Philosophy),,Department of Environmental Sciences,University of Virginia,"Charlottesville, VA",Department of Environmental Sciences,Department of Environmental Sciences,"Smithsonian Institution, Center for Earth and Planetary Studies",Sharon A. Wilson Purdy,,
0000-0003-1781-4601,co_author,Shaun Rosebeck,male,41.7913968,-87.6008439,The University of Chicago,,,,SciVee,,,,,,,
0000-0001-7639-0365,co_author,Shaurya Taran,female,43.663462,-79.3977597,University of Toronto,,,,,,,,"Critical Care Physician, University Health Network, University of Toronto",Shaurya Taran,,
0000-0003-4628-8559,co_author,Shawn Floyd,male,40.8265967,-81.3798006,Malone University,DNP,University of Virginia,Nursing,University of Virginia,"Charlottesville, VA",School of Nursing,Nursing,UVA Health,Shawn Floyd,,
0000-0003-3805-1519,co_author,Shawn Tsutsui,male,,,University of Virginia School of Medicine,M.D.,University of Virginia School of Medicine,,bioRxiv,,,,,,,
0000-0002-6241-3770,co_author,Shawna Amini,female,29.6328837,-82.349013,University of Florida,Doctor of Philosophy,,,Portland State University,,,,,,,
0009-0003-3698-3416,co_author,Shean-Jen Chen,male,22.925322,120.293998,National Yang Ming Chiao Tung University,,,,,,,,National Yang Ming Chiao Tung University,Shean-Jen Chen,,
0009-0001-7289-4002,co_author,Sheetal G,male,,,,,,,,,,,Vishwakarma University,Sheetal Gurunath Athalye,,
0000-0002-6297-6389,co_author,Shelsey Johnson,female,42.3356871,-71.106036,Brigham and Women's Hospital,,,,,,,,Michigan State University,Chelsea A. Johnson,,
